movie_name,movie_date,movie_description,movie_rate,movie_director,movie_type,movie_lanuage,movie_star
谍影重重3,2007,像吃了苏打饼一样干脆的电影。,164904人评价,保罗·格林格拉斯 Paul Greengrass,动作 悬疑 冒险,美国 德国,8.7
电锯惊魂,2004,真相就在眼前。,181151人评价,詹姆斯·温 James Wan,犯罪 悬疑 惊悚,美国 澳大利亚,8.6
穿条纹睡衣的男孩,2008,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,121355人评价,马克·赫门 Mark Herman,剧情 战争,英国 美国,8.8
神偷奶爸,2010,Mr. I Don't Care其实也有Care的时候。,336992人评价,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,儿童 喜剧 动画,美国,8.5
菊次郎的夏天,1999,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,159064人评价,北野武 Takeshi Kitano,剧情 喜剧,日本,8.7
真爱至上,2003,爱，是个动词。,285477人评价,理查德·柯蒂斯 Richard Curtis,喜剧 剧情 爱情,英国 美国 法国,8.5
借东西的小人阿莉埃蒂,2010,曾经的那段美好会沉淀为一辈子的记忆。,196851人评价,米林宏昌 Hiromasa Yonebayashi,动画 奇幻 冒险,日本,8.7
虎口脱险,1966,永远看不腻的喜剧。,98617人评价,杰拉尔·乌里 Gérard Oury,喜剧 战争,法国 英国,8.9
岁月神偷,2010,岁月流逝，来日可追。,282697人评价,罗启锐 Alex Law,剧情 家庭,香港 中国大陆,8.6
雨人,1988,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,193387人评价,巴瑞·莱文森 Barry Levinson,剧情,美国,8.6
倩女幽魂,1987,两张绝世的脸。 ,220867人评价,程小东 Siu-Tung Ching,剧情 爱情 武侠 古装,香港,8.6
贫民窟的百万富翁,2008,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,369580人评价,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,剧情 爱情,英国 美国,8.5
七武士,1954,时代悲歌。,67686人评价,黑泽明 Akira Kurosawa,动作 冒险 剧情,日本,9.1
消失的爱人,2014,无,311048人评价,大卫·芬奇 David Fincher,剧情 犯罪 悬疑 惊悚,美国,8.7
记忆碎片,2000,一个针管引发的血案。,251966人评价,克里斯托弗·诺兰 Christopher Nolan,犯罪 剧情 悬疑 惊悚,美国,8.5
东邪西毒,1994,电影诗。,228217人评价,王家卫 Kar Wai Wong,剧情 动作 爱情 武侠 古装,香港 台湾,8.6
恐怖直播,2013,恐怖分子的“秋菊打官司”。,186867人评价,金秉祐 Byeong-woo Kim,剧情 犯罪 悬疑,韩国,8.7
疯狂原始人,2013,老少皆宜，这就是好莱坞动画的魅力。,341928人评价,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,喜剧 动画 冒险,美国,8.7
怪兽电力公司,2001,不要给它起名字，起了名字就有感情了。,214403人评价,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,喜剧 动画 儿童 奇幻,美国,8.6
杀人回忆,2003,关于连环杀人悬案的集体回忆。,183900人评价,奉俊昊 Joon-ho Bong,犯罪 剧情 悬疑 惊悚,韩国,8.6
穿越时空的少女,2006,爱上未来的你。 ,168743人评价,细田守 Mamoru Hosoda,剧情 爱情 科幻 动画,日本,8.6
卢旺达饭店,2004,当这个世界闭上双眼，他却敞开了怀抱。,106140人评价,特瑞·乔治 Terry George,剧情 历史 战争,英国 南非 意大利 美国,8.8
魂断蓝桥,1940,中国式内在的美国电影。,119424人评价,Mervyn LeRoy,剧情 战争 爱情,美国,8.8
红辣椒,2006,梦的勾结。,110211人评价,今敏 Satoshi Kon,动画 悬疑 科幻 惊悚,日本,8.8
恋恋笔记本,2004,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,250656人评价,尼克·卡索维茨 Nick Cassavetes,剧情 爱情,美国,8.5
黑天鹅,2010,黑暗之美。,382182人评价,达伦·阿罗诺夫斯基 Darren Aronofsky,剧情 惊悚,美国,8.5
猜火车,1996,不可猜的青春迷笛。 ,223465人评价,丹尼·鲍尔 Danny Boyle,犯罪 剧情,英国,8.5
